Year,Mo,Dy,Date1,Date2,Date3,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
2013,9,15,2013-9-15,15/9/2013,"Sunday, 15 September 2013",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,,,,,2,,,,,,,,,,2,,
2013,12,13,2013-12-13,13/12/2013,"Friday, 13 December 2013",,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,G,1,1,,,,,,,,,1,1,,,,,,,,
2014,2,1,2014-2-1,1/2/2014,"Saturday, 1 February 2014",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,17,1,,,3,1,,1,,2
2014,2,13,2014-2-13,13/2/2014,"Thursday, 13 February 2014",,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,,7,1,,,,,,3,4098,4,7,1,,,,,,3,4098,4
2014,9,27,2014-9-27,27/9/2014,"Saturday, 27 September 2014",,,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3,,55,2,,,70,2,,,,,55,2,,,70,2,,,,
2014,11,10,2014-11-10,10/11/2014,"Monday, 10 November 2014",,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,14.5,3,1,1,,,,,,,14.5,3,1,1
2014,11,23,2014-11-23,23/11/2014,"Sunday, 23 November 2014",,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,,,,,,2,230,3,,,,,,,,2,230,3
2014,12,18,2014-12-18,18/12/2014,"Thursday, 18 December 2014",,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,,,1,1,,,4,1,,,,,1,1,,,4,1,,,,
2015,2,20,2015-2-20,20/2/2015,"Friday, 20 February 2015",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,4,22,2015-4-22,22/4/2015,"Wednesday, 22 April 2015",,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,,,,,,,,,,2,,2,,,,,,,,2,,2
2015,5,2,2015-5-2,2/5/2015,"Saturday, 2 May 2015",5584,10140,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2015,5,7,2015-5-7,7/5/2015,"Thursday, 7 May 2015",,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,7,31,2015-7-31,31/7/2015,"Friday, 31 July 2015",,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,,,,,,2,1,,1,,,,,,,2,1,,1,,
2015,10,16,2015-10-16,16/10/2015,"Friday, 16 October 2015",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,M,1,1,,,,,,1,,,1,1,,,,,,1,,
2015,10,1,"Thursday, 1 October 2015",1/10/2015,"Thursday, 1 October 2015",,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,I,1,1,,,,,,,,,1,1,,,,,,,,
2016,5,9,2016-5-9,9/5/2016,"Monday, 9 May 2016",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,1,1,,,4,1,,1,3,1,1,1,,,4,1,,1,,
